file,x,y,w,h
../Imagens/UnetDataset/pilha\results_pos\226_predict_resized.png,99,86,20,66
../Imagens/UnetDataset/pilha\results_pos\227_predict_resized.png,82,103,20,76
../Imagens/UnetDataset/pilha\results_pos\228_predict_resized.png,89,91,21,73
../Imagens/UnetDataset/pilha\results_pos\229_predict_resized.png,79,80,28,101
../Imagens/UnetDataset/pilha\results_pos\22_predict_resized.png,99,106,34,93
../Imagens/UnetDataset/pilha\results_pos\230_predict_resized.png,102,94,18,64
../Imagens/UnetDataset/pilha\results_pos\231_predict_resized.png,113,71,20,73
../Imagens/UnetDataset/pilha\results_pos\232_predict_resized.png,95,111,15,58
../Imagens/UnetDataset/pilha\results_pos\233_predict_resized.png,96,91,21,74
../Imagens/UnetDataset/pilha\results_pos\234_predict_resized.png,109,129,27,92
../Imagens/UnetDataset/pilha\results_pos\235_predict_resized.png,113,115,25,96
../Imagens/UnetDataset/pilha\results_pos\236_predict_resized.png,103,88,31,109
../Imagens/UnetDataset/pilha\results_pos\237_predict_resized.png,125,104,34,117
../Imagens/UnetDataset/pilha\results_pos\238_predict_resized.png,107,106,25,93
../Imagens/UnetDataset/pilha\results_pos\239_predict_resized.png,143,115,35,118
../Imagens/UnetDataset/pilha\results_pos\23_predict_resized.png,144,115,34,118
../Imagens/UnetDataset/pilha\results_pos\240_predict_resized.png,121,148,25,88
../Imagens/UnetDataset/pilha\results_pos\241_predict_resized.png,137,133,30,92
../Imagens/UnetDataset/pilha\results_pos\242_predict_resized.png,111,132,24,80
../Imagens/UnetDataset/pilha\results_pos\243_predict_resized.png,104,128,24,97
../Imagens/UnetDataset/pilha\results_pos\244_predict_resized.png,103,112,20,90
../Imagens/UnetDataset/pilha\results_pos\245_predict_resized.png,87,103,18,84
../Imagens/UnetDataset/pilha\results_pos\246_predict_resized.png,97,130,30,119
../Imagens/UnetDataset/pilha\results_pos\247_predict_resized.png,112,134,26,99
../Imagens/UnetDataset/pilha\results_pos\248_predict_resized.png,92,96,30,118
../Imagens/UnetDataset/pilha\results_pos\249_predict_resized.png,88,117,21,85
../Imagens/UnetDataset/pilha\results_pos\24_predict_resized.png,121,147,25,88
../Imagens/UnetDataset/pilha\results_pos\250_predict_resized.png,104,137,15,70
../Imagens/UnetDataset/pilha\results_pos\251_predict_resized.png,62,101,28,96
../Imagens/UnetDataset/pilha\results_pos\252_predict_resized.png,86,92,26,95
../Imagens/UnetDataset/pilha\results_pos\253_predict_resized.png,76,113,26,88
../Imagens/UnetDataset/pilha\results_pos\254_predict_resized.png,89,102,33,107
../Imagens/UnetDataset/pilha\results_pos\255_predict_resized.png,85,130,26,89
../Imagens/UnetDataset/pilha\results_pos\256_predict_resized.png,107,173,23,78
../Imagens/UnetDataset/pilha\results_pos\257_predict_resized.png,91,135,24,77
../Imagens/UnetDataset/pilha\results_pos\258_predict_resized.png,92,105,24,80
../Imagens/UnetDataset/pilha\results_pos\259_predict_resized.png,98,118,26,93
../Imagens/UnetDataset/pilha\results_pos\25_predict_resized.png,136,131,29,94
../Imagens/UnetDataset/pilha\results_pos\260_predict_resized.png,96,136,22,79
../Imagens/UnetDataset/pilha\results_pos\261_predict_resized.png,78,71,25,89
../Imagens/UnetDataset/pilha\results_pos\262_predict_resized.png,135,151,22,75
../Imagens/UnetDataset/pilha\results_pos\263_predict_resized.png,103,113,22,70
../Imagens/UnetDataset/pilha\results_pos\264_predict_resized.png,114,161,29,81
../Imagens/UnetDataset/pilha\results_pos\265_predict_resized.png,102,114,20,63
../Imagens/UnetDataset/pilha\results_pos\266_predict_resized.png,67,75,38,73
../Imagens/UnetDataset/pilha\results_pos\267_predict_resized.png,115,137,27,78
../Imagens/UnetDataset/pilha\results_pos\268_predict_resized.png,97,114,23,53
../Imagens/UnetDataset/pilha\results_pos\269_predict_resized.png,96,84,22,75
../Imagens/UnetDataset/pilha\results_pos\26_predict_resized.png,111,130,23,82
../Imagens/UnetDataset/pilha\results_pos\270_predict_resized.png,74,90,29,96
../Imagens/UnetDataset/pilha\results_pos\271_predict_resized.png,99,97,26,89
../Imagens/UnetDataset/pilha\results_pos\272_predict_resized.png,108,124,24,73
../Imagens/UnetDataset/pilha\results_pos\273_predict_resized.png,84,101,32,105
../Imagens/UnetDataset/pilha\results_pos\274_predict_resized.png,99,138,32,88
../Imagens/UnetDataset/pilha\results_pos\275_predict_resized.png,98,112,28,97
../Imagens/UnetDataset/pilha\results_pos\276_predict_resized.png,67,74,36,102
../Imagens/UnetDataset/pilha\results_pos\277_predict_resized.png,89,119,32,98
../Imagens/UnetDataset/pilha\results_pos\278_predict_resized.png,89,98,31,99
../Imagens/UnetDataset/pilha\results_pos\279_predict_resized.png,82,161,36,104
../Imagens/UnetDataset/pilha\results_pos\27_predict_resized.png,102,128,26,97
../Imagens/UnetDataset/pilha\results_pos\280_predict_resized.png,77,101,39,107
../Imagens/UnetDataset/pilha\results_pos\281_predict_resized.png,64,99,41,112
../Imagens/UnetDataset/pilha\results_pos\282_predict_resized.png,85,94,30,106
../Imagens/UnetDataset/pilha\results_pos\283_predict_resized.png,82,107,36,125
../Imagens/UnetDataset/pilha\results_pos\284_predict_resized.png,87,103,35,115
../Imagens/UnetDataset/pilha\results_pos\285_predict_resized.png,81,108,29,100
../Imagens/UnetDataset/pilha\results_pos\286_predict_resized.png,107,169,35,95
../Imagens/UnetDataset/pilha\results_pos\287_predict_resized.png,95,114,28,98
../Imagens/UnetDataset/pilha\results_pos\288_predict_resized.png,99,101,27,94
../Imagens/UnetDataset/pilha\results_pos\289_predict_resized.png,75,97,28,99
../Imagens/UnetDataset/pilha\results_pos\28_predict_resized.png,103,111,21,92
../Imagens/UnetDataset/pilha\results_pos\290_predict_resized.png,72,127,27,93
../Imagens/UnetDataset/pilha\results_pos\291_predict_resized.png,108,122,26,94
../Imagens/UnetDataset/pilha\results_pos\292_predict_resized.png,126,164,21,65
../Imagens/UnetDataset/pilha\results_pos\293_predict_resized.png,104,135,24,82
../Imagens/UnetDataset/pilha\results_pos\294_predict_resized.png,94,107,31,92
../Imagens/UnetDataset/pilha\results_pos\295_predict_resized.png,91,97,27,77
../Imagens/UnetDataset/pilha\results_pos\296_predict_resized.png,95,85,36,99
../Imagens/UnetDataset/pilha\results_pos\297_predict_resized.png,105,80,25,80
../Imagens/UnetDataset/pilha\results_pos\298_predict_resized.png,94,105,20,65
../Imagens/UnetDataset/pilha\results_pos\299_predict_resized.png,102,107,20,68
../Imagens/UnetDataset/pilha\results_pos\29_predict_resized.png,86,103,19,84
../Imagens/UnetDataset/pilha\results_pos\2_predict_resized.png,93,119,19,76
../Imagens/UnetDataset/pilha\results_pos\300_predict_resized.png,101,82,31,94
../Imagens/UnetDataset/pilha\results_pos\301_predict_resized.png,114,135,19,62
../Imagens/UnetDataset/pilha\results_pos\302_predict_resized.png,84,89,26,88
../Imagens/UnetDataset/pilha\results_pos\303_predict_resized.png,95,81,25,75
../Imagens/UnetDataset/pilha\results_pos\304_predict_resized.png,76,105,25,72
../Imagens/UnetDataset/pilha\results_pos\305_predict_resized.png,68,83,25,80
../Imagens/UnetDataset/pilha\results_pos\306_predict_resized.png,91,109,29,97
../Imagens/UnetDataset/pilha\results_pos\307_predict_resized.png,90,109,30,89
../Imagens/UnetDataset/pilha\results_pos\308_predict_resized.png,93,97,35,95
../Imagens/UnetDataset/pilha\results_pos\309_predict_resized.png,86,91,44,108
../Imagens/UnetDataset/pilha\results_pos\30_predict_resized.png,97,129,30,121
../Imagens/UnetDataset/pilha\results_pos\310_predict_resized.png,99,116,43,113
../Imagens/UnetDataset/pilha\results_pos\311_predict_resized.png,89,111,33,102
../Imagens/UnetDataset/pilha\results_pos\312_predict_resized.png,103,95,29,121
../Imagens/UnetDataset/pilha\results_pos\313_predict_resized.png,92,135,26,86
../Imagens/UnetDataset/pilha\results_pos\314_predict_resized.png,95,111,30,110
../Imagens/UnetDataset/pilha\results_pos\315_predict_resized.png,110,122,42,108
../Imagens/UnetDataset/pilha\results_pos\316_predict_resized.png,68,90,41,104
../Imagens/UnetDataset/pilha\results_pos\317_predict_resized.png,69,77,47,120
../Imagens/UnetDataset/pilha\results_pos\318_predict_resized.png,71,108,30,101
../Imagens/UnetDataset/pilha\results_pos\319_predict_resized.png,74,135,26,80
../Imagens/UnetDataset/pilha\results_pos\31_predict_resized.png,112,134,26,101
../Imagens/UnetDataset/pilha\results_pos\320_predict_resized.png,90,133,29,95
../Imagens/UnetDataset/pilha\results_pos\321_predict_resized.png,61,112,27,99
../Imagens/UnetDataset/pilha\results_pos\322_predict_resized.png,118,140,27,82
../Imagens/UnetDataset/pilha\results_pos\323_predict_resized.png,85,137,27,86
../Imagens/UnetDataset/pilha\results_pos\324_predict_resized.png,98,122,18,74
../Imagens/UnetDataset/pilha\results_pos\325_predict_resized.png,103,119,16,68
../Imagens/UnetDataset/pilha\results_pos\326_predict_resized.png,94,119,18,77
../Imagens/UnetDataset/pilha\results_pos\327_predict_resized.png,100,135,18,68
../Imagens/UnetDataset/pilha\results_pos\328_predict_resized.png,83,127,18,68
../Imagens/UnetDataset/pilha\results_pos\329_predict_resized.png,98,142,17,66
../Imagens/UnetDataset/pilha\results_pos\32_predict_resized.png,92,96,31,121
../Imagens/UnetDataset/pilha\results_pos\330_predict_resized.png,90,116,20,67
../Imagens/UnetDataset/pilha\results_pos\331_predict_resized.png,92,109,28,82
../Imagens/UnetDataset/pilha\results_pos\332_predict_resized.png,104,116,24,70
../Imagens/UnetDataset/pilha\results_pos\333_predict_resized.png,97,120,16,73
../Imagens/UnetDataset/pilha\results_pos\334_predict_resized.png,98,86,21,66
../Imagens/UnetDataset/pilha\results_pos\335_predict_resized.png,82,104,20,75
../Imagens/UnetDataset/pilha\results_pos\336_predict_resized.png,84,90,26,72
../Imagens/UnetDataset/pilha\results_pos\337_predict_resized.png,77,74,31,106
../Imagens/UnetDataset/pilha\results_pos\338_predict_resized.png,99,88,21,69
../Imagens/UnetDataset/pilha\results_pos\339_predict_resized.png,112,71,21,74
../Imagens/UnetDataset/pilha\results_pos\33_predict_resized.png,88,119,21,86
../Imagens/UnetDataset/pilha\results_pos\340_predict_resized.png,95,111,16,59
../Imagens/UnetDataset/pilha\results_pos\341_predict_resized.png,96,91,21,74
../Imagens/UnetDataset/pilha\results_pos\342_predict_resized.png,109,127,27,93
../Imagens/UnetDataset/pilha\results_pos\343_predict_resized.png,113,114,25,97
../Imagens/UnetDataset/pilha\results_pos\344_predict_resized.png,102,88,32,111
../Imagens/UnetDataset/pilha\results_pos\345_predict_resized.png,125,103,34,118
../Imagens/UnetDataset/pilha\results_pos\346_predict_resized.png,99,106,34,93
../Imagens/UnetDataset/pilha\results_pos\347_predict_resized.png,143,114,35,119
../Imagens/UnetDataset/pilha\results_pos\348_predict_resized.png,121,147,25,88
../Imagens/UnetDataset/pilha\results_pos\349_predict_resized.png,136,131,30,94
../Imagens/UnetDataset/pilha\results_pos\34_predict_resized.png,104,138,15,71
../Imagens/UnetDataset/pilha\results_pos\350_predict_resized.png,111,130,24,82
../Imagens/UnetDataset/pilha\results_pos\351_predict_resized.png,103,128,24,97
../Imagens/UnetDataset/pilha\results_pos\352_predict_resized.png,103,111,21,92
../Imagens/UnetDataset/pilha\results_pos\353_predict_resized.png,86,102,19,85
../Imagens/UnetDataset/pilha\results_pos\354_predict_resized.png,97,130,30,119
../Imagens/UnetDataset/pilha\results_pos\355_predict_resized.png,112,134,26,99
../Imagens/UnetDataset/pilha\results_pos\356_predict_resized.png,92,95,30,120
../Imagens/UnetDataset/pilha\results_pos\357_predict_resized.png,87,118,22,85
../Imagens/UnetDataset/pilha\results_pos\358_predict_resized.png,104,138,15,70
../Imagens/UnetDataset/pilha\results_pos\359_predict_resized.png,62,101,29,95
../Imagens/UnetDataset/pilha\results_pos\35_predict_resized.png,62,101,29,97
../Imagens/UnetDataset/pilha\results_pos\360_predict_resized.png,85,93,27,94
../Imagens/UnetDataset/pilha\results_pos\361_predict_resized.png,76,113,27,88
../Imagens/UnetDataset/pilha\results_pos\362_predict_resized.png,89,102,33,107
../Imagens/UnetDataset/pilha\results_pos\363_predict_resized.png,84,130,27,89
../Imagens/UnetDataset/pilha\results_pos\364_predict_resized.png,106,173,24,78
../Imagens/UnetDataset/pilha\results_pos\365_predict_resized.png,90,135,25,77
../Imagens/UnetDataset/pilha\results_pos\366_predict_resized.png,92,105,23,80
../Imagens/UnetDataset/pilha\results_pos\367_predict_resized.png,98,118,25,93
../Imagens/UnetDataset/pilha\results_pos\368_predict_resized.png,95,136,23,79
../Imagens/UnetDataset/pilha\results_pos\369_predict_resized.png,78,70,24,90
../Imagens/UnetDataset/pilha\results_pos\36_predict_resized.png,85,93,27,95
../Imagens/UnetDataset/pilha\results_pos\370_predict_resized.png,134,151,23,75
../Imagens/UnetDataset/pilha\results_pos\371_predict_resized.png,103,113,22,71
../Imagens/UnetDataset/pilha\results_pos\372_predict_resized.png,113,162,30,81
../Imagens/UnetDataset/pilha\results_pos\373_predict_resized.png,101,114,21,63
../Imagens/UnetDataset/pilha\results_pos\374_predict_resized.png,65,75,40,74
../Imagens/UnetDataset/pilha\results_pos\375_predict_resized.png,115,136,27,79
../Imagens/UnetDataset/pilha\results_pos\376_predict_resized.png,96,114,24,54
../Imagens/UnetDataset/pilha\results_pos\377_predict_resized.png,91,84,27,77
../Imagens/UnetDataset/pilha\results_pos\378_predict_resized.png,73,90,30,98
../Imagens/UnetDataset/pilha\results_pos\379_predict_resized.png,98,98,27,91
../Imagens/UnetDataset/pilha\results_pos\37_predict_resized.png,76,114,26,87
../Imagens/UnetDataset/pilha\results_pos\380_predict_resized.png,108,124,24,75
../Imagens/UnetDataset/pilha\results_pos\381_predict_resized.png,84,102,44,105
../Imagens/UnetDataset/pilha\results_pos\382_predict_resized.png,98,138,36,89
../Imagens/UnetDataset/pilha\results_pos\383_predict_resized.png,98,112,38,97
../Imagens/UnetDataset/pilha\results_pos\384_predict_resized.png,67,65,37,112
../Imagens/UnetDataset/pilha\results_pos\385_predict_resized.png,89,119,33,98
../Imagens/UnetDataset/pilha\results_pos\386_predict_resized.png,89,98,31,101
../Imagens/UnetDataset/pilha\results_pos\387_predict_resized.png,81,160,36,106
../Imagens/UnetDataset/pilha\results_pos\388_predict_resized.png,76,101,40,106
../Imagens/UnetDataset/pilha\results_pos\389_predict_resized.png,64,99,41,112
../Imagens/UnetDataset/pilha\results_pos\38_predict_resized.png,89,103,32,106
../Imagens/UnetDataset/pilha\results_pos\390_predict_resized.png,84,94,31,106
../Imagens/UnetDataset/pilha\results_pos\391_predict_resized.png,82,107,36,125
../Imagens/UnetDataset/pilha\results_pos\392_predict_resized.png,87,103,34,115
../Imagens/UnetDataset/pilha\results_pos\393_predict_resized.png,81,109,29,99
../Imagens/UnetDataset/pilha\results_pos\394_predict_resized.png,106,168,36,97
../Imagens/UnetDataset/pilha\results_pos\395_predict_resized.png,94,114,29,98
../Imagens/UnetDataset/pilha\results_pos\396_predict_resized.png,99,102,27,91
../Imagens/UnetDataset/pilha\results_pos\397_predict_resized.png,75,97,28,97
../Imagens/UnetDataset/pilha\results_pos\398_predict_resized.png,72,127,27,93
../Imagens/UnetDataset/pilha\results_pos\399_predict_resized.png,107,122,27,94
../Imagens/UnetDataset/pilha\results_pos\39_predict_resized.png,85,130,25,89
../Imagens/UnetDataset/pilha\results_pos\3_predict_resized.png,101,135,16,68
../Imagens/UnetDataset/pilha\results_pos\400_predict_resized.png,126,163,21,66
../Imagens/UnetDataset/pilha\results_pos\401_predict_resized.png,103,135,26,82
../Imagens/UnetDataset/pilha\results_pos\402_predict_resized.png,93,107,32,92
../Imagens/UnetDataset/pilha\results_pos\403_predict_resized.png,91,97,27,76
../Imagens/UnetDataset/pilha\results_pos\404_predict_resized.png,94,85,36,99
../Imagens/UnetDataset/pilha\results_pos\405_predict_resized.png,104,75,26,85
../Imagens/UnetDataset/pilha\results_pos\406_predict_resized.png,94,105,21,65
../Imagens/UnetDataset/pilha\results_pos\407_predict_resized.png,101,107,23,68
../Imagens/UnetDataset/pilha\results_pos\408_predict_resized.png,100,83,32,93
../Imagens/UnetDataset/pilha\results_pos\409_predict_resized.png,114,135,19,63
../Imagens/UnetDataset/pilha\results_pos\40_predict_resized.png,106,174,24,78
../Imagens/UnetDataset/pilha\results_pos\410_predict_resized.png,76,75,34,102
../Imagens/UnetDataset/pilha\results_pos\411_predict_resized.png,94,72,27,84
../Imagens/UnetDataset/pilha\results_pos\412_predict_resized.png,75,106,27,70
../Imagens/UnetDataset/pilha\results_pos\413_predict_resized.png,68,83,25,78
