file,x,y,w,h
../Imagens/UnetDataset/perfume\results_pos\161_predict_resized.png,51,32,131,249
../Imagens/UnetDataset/perfume\results_pos\162_predict_resized.png,64,65,108,184
../Imagens/UnetDataset/perfume\results_pos\163_predict_resized.png,67,86,96,158
../Imagens/UnetDataset/perfume\results_pos\164_predict_resized.png,59,93,93,156
../Imagens/UnetDataset/perfume\results_pos\165_predict_resized.png,54,82,111,161
../Imagens/UnetDataset/perfume\results_pos\166_predict_resized.png,80,87,117,168
../Imagens/UnetDataset/perfume\results_pos\167_predict_resized.png,63,74,121,173
../Imagens/UnetDataset/perfume\results_pos\168_predict_resized.png,52,56,110,175
../Imagens/UnetDataset/perfume\results_pos\169_predict_resized.png,59,66,107,174
../Imagens/UnetDataset/perfume\results_pos\16_predict_resized.png,77,57,91,166
../Imagens/UnetDataset/perfume\results_pos\170_predict_resized.png,39,61,111,179
../Imagens/UnetDataset/perfume\results_pos\171_predict_resized.png,45,71,109,192
../Imagens/UnetDataset/perfume\results_pos\172_predict_resized.png,52,83,101,170
../Imagens/UnetDataset/perfume\results_pos\173_predict_resized.png,42,34,122,217
../Imagens/UnetDataset/perfume\results_pos\174_predict_resized.png,57,94,88,154
../Imagens/UnetDataset/perfume\results_pos\175_predict_resized.png,53,121,84,143
../Imagens/UnetDataset/perfume\results_pos\176_predict_resized.png,52,86,100,203
../Imagens/UnetDataset/perfume\results_pos\177_predict_resized.png,55,93,92,153
../Imagens/UnetDataset/perfume\results_pos\178_predict_resized.png,52,111,89,156
../Imagens/UnetDataset/perfume\results_pos\179_predict_resized.png,55,101,90,152
../Imagens/UnetDataset/perfume\results_pos\17_predict_resized.png,65,79,98,165
../Imagens/UnetDataset/perfume\results_pos\180_predict_resized.png,54,63,124,202
../Imagens/UnetDataset/perfume\results_pos\181_predict_resized.png,46,38,133,215
../Imagens/UnetDataset/perfume\results_pos\182_predict_resized.png,58,72,116,192
../Imagens/UnetDataset/perfume\results_pos\183_predict_resized.png,56,37,99,160
../Imagens/UnetDataset/perfume\results_pos\184_predict_resized.png,63,110,100,159
../Imagens/UnetDataset/perfume\results_pos\185_predict_resized.png,48,46,108,175
../Imagens/UnetDataset/perfume\results_pos\186_predict_resized.png,67,70,108,175
../Imagens/UnetDataset/perfume\results_pos\187_predict_resized.png,55,49,117,190
../Imagens/UnetDataset/perfume\results_pos\188_predict_resized.png,61,71,104,171
../Imagens/UnetDataset/perfume\results_pos\189_predict_resized.png,60,42,130,213
../Imagens/UnetDataset/perfume\results_pos\18_predict_resized.png,41,46,137,238
../Imagens/UnetDataset/perfume\results_pos\190_predict_resized.png,46,42,116,187
../Imagens/UnetDataset/perfume\results_pos\191_predict_resized.png,53,42,117,187
../Imagens/UnetDataset/perfume\results_pos\192_predict_resized.png,34,33,149,245
../Imagens/UnetDataset/perfume\results_pos\193_predict_resized.png,46,0,137,240
../Imagens/UnetDataset/perfume\results_pos\194_predict_resized.png,43,61,142,238
../Imagens/UnetDataset/perfume\results_pos\195_predict_resized.png,56,45,114,207
../Imagens/UnetDataset/perfume\results_pos\196_predict_resized.png,60,34,108,203
../Imagens/UnetDataset/perfume\results_pos\197_predict_resized.png,69,65,110,196
../Imagens/UnetDataset/perfume\results_pos\198_predict_resized.png,60,65,110,176
../Imagens/UnetDataset/perfume\results_pos\199_predict_resized.png,72,72,120,183
../Imagens/UnetDataset/perfume\results_pos\19_predict_resized.png,74,89,124,211
../Imagens/UnetDataset/perfume\results_pos\1_predict_resized.png,43,30,127,213
../Imagens/UnetDataset/perfume\results_pos\200_predict_resized.png,54,75,112,181
../Imagens/UnetDataset/perfume\results_pos\201_predict_resized.png,45,62,129,211
../Imagens/UnetDataset/perfume\results_pos\202_predict_resized.png,54,94,123,202
../Imagens/UnetDataset/perfume\results_pos\203_predict_resized.png,39,81,150,208
../Imagens/UnetDataset/perfume\results_pos\204_predict_resized.png,21,51,147,214
../Imagens/UnetDataset/perfume\results_pos\205_predict_resized.png,18,39,138,201
../Imagens/UnetDataset/perfume\results_pos\206_predict_resized.png,30,38,147,216
../Imagens/UnetDataset/perfume\results_pos\207_predict_resized.png,64,88,100,170
../Imagens/UnetDataset/perfume\results_pos\208_predict_resized.png,61,83,112,181
../Imagens/UnetDataset/perfume\results_pos\209_predict_resized.png,55,62,99,168
../Imagens/UnetDataset/perfume\results_pos\20_predict_resized.png,50,59,128,218
../Imagens/UnetDataset/perfume\results_pos\210_predict_resized.png,75,125,89,143
../Imagens/UnetDataset/perfume\results_pos\211_predict_resized.png,57,124,94,156
../Imagens/UnetDataset/perfume\results_pos\212_predict_resized.png,80,98,97,158
../Imagens/UnetDataset/perfume\results_pos\213_predict_resized.png,57,64,95,159
../Imagens/UnetDataset/perfume\results_pos\214_predict_resized.png,49,99,92,151
../Imagens/UnetDataset/perfume\results_pos\215_predict_resized.png,63,71,101,160
../Imagens/UnetDataset/perfume\results_pos\216_predict_resized.png,48,46,147,246
../Imagens/UnetDataset/perfume\results_pos\217_predict_resized.png,43,31,127,212
../Imagens/UnetDataset/perfume\results_pos\218_predict_resized.png,54,55,137,224
../Imagens/UnetDataset/perfume\results_pos\219_predict_resized.png,0,53,145,208
../Imagens/UnetDataset/perfume\results_pos\21_predict_resized.png,48,65,140,191
../Imagens/UnetDataset/perfume\results_pos\220_predict_resized.png,54,61,115,187
../Imagens/UnetDataset/perfume\results_pos\221_predict_resized.png,50,78,131,208
../Imagens/UnetDataset/perfume\results_pos\222_predict_resized.png,46,62,127,207
../Imagens/UnetDataset/perfume\results_pos\223_predict_resized.png,51,52,126,204
../Imagens/UnetDataset/perfume\results_pos\224_predict_resized.png,46,60,132,216
../Imagens/UnetDataset/perfume\results_pos\225_predict_resized.png,63,62,90,171
../Imagens/UnetDataset/perfume\results_pos\226_predict_resized.png,65,89,90,158
../Imagens/UnetDataset/perfume\results_pos\227_predict_resized.png,60,82,95,169
../Imagens/UnetDataset/perfume\results_pos\228_predict_resized.png,51,74,115,178
../Imagens/UnetDataset/perfume\results_pos\229_predict_resized.png,62,122,85,139
../Imagens/UnetDataset/perfume\results_pos\22_predict_resized.png,64,87,124,170
../Imagens/UnetDataset/perfume\results_pos\230_predict_resized.png,52,95,108,166
../Imagens/UnetDataset/perfume\results_pos\231_predict_resized.png,72,56,93,167
../Imagens/UnetDataset/perfume\results_pos\232_predict_resized.png,77,62,88,160
../Imagens/UnetDataset/perfume\results_pos\233_predict_resized.png,65,81,97,161
../Imagens/UnetDataset/perfume\results_pos\234_predict_resized.png,41,53,136,230
../Imagens/UnetDataset/perfume\results_pos\235_predict_resized.png,75,89,123,210
../Imagens/UnetDataset/perfume\results_pos\236_predict_resized.png,50,59,127,216
../Imagens/UnetDataset/perfume\results_pos\237_predict_resized.png,48,64,116,192
../Imagens/UnetDataset/perfume\results_pos\238_predict_resized.png,65,86,115,170
../Imagens/UnetDataset/perfume\results_pos\239_predict_resized.png,61,98,123,167
../Imagens/UnetDataset/perfume\results_pos\23_predict_resized.png,61,98,123,166
../Imagens/UnetDataset/perfume\results_pos\240_predict_resized.png,57,86,109,174
../Imagens/UnetDataset/perfume\results_pos\241_predict_resized.png,48,66,106,178
../Imagens/UnetDataset/perfume\results_pos\242_predict_resized.png,69,83,97,167
../Imagens/UnetDataset/perfume\results_pos\243_predict_resized.png,39,62,130,218
../Imagens/UnetDataset/perfume\results_pos\244_predict_resized.png,59,72,115,189
../Imagens/UnetDataset/perfume\results_pos\245_predict_resized.png,32,50,139,230
../Imagens/UnetDataset/perfume\results_pos\246_predict_resized.png,47,75,125,201
../Imagens/UnetDataset/perfume\results_pos\247_predict_resized.png,61,105,100,157
../Imagens/UnetDataset/perfume\results_pos\248_predict_resized.png,38,61,138,217
../Imagens/UnetDataset/perfume\results_pos\249_predict_resized.png,36,71,116,192
../Imagens/UnetDataset/perfume\results_pos\24_predict_resized.png,58,86,108,171
../Imagens/UnetDataset/perfume\results_pos\250_predict_resized.png,37,91,115,191
../Imagens/UnetDataset/perfume\results_pos\251_predict_resized.png,51,83,116,190
../Imagens/UnetDataset/perfume\results_pos\252_predict_resized.png,55,72,104,178
../Imagens/UnetDataset/perfume\results_pos\253_predict_resized.png,52,57,116,195
../Imagens/UnetDataset/perfume\results_pos\254_predict_resized.png,56,61,102,174
../Imagens/UnetDataset/perfume\results_pos\255_predict_resized.png,62,73,105,187
../Imagens/UnetDataset/perfume\results_pos\256_predict_resized.png,61,82,91,155
../Imagens/UnetDataset/perfume\results_pos\257_predict_resized.png,52,59,100,181
../Imagens/UnetDataset/perfume\results_pos\258_predict_resized.png,60,81,102,163
../Imagens/UnetDataset/perfume\results_pos\259_predict_resized.png,37,59,117,192
../Imagens/UnetDataset/perfume\results_pos\25_predict_resized.png,47,70,107,175
../Imagens/UnetDataset/perfume\results_pos\260_predict_resized.png,66,54,105,173
../Imagens/UnetDataset/perfume\results_pos\261_predict_resized.png,74,70,109,175
../Imagens/UnetDataset/perfume\results_pos\262_predict_resized.png,53,74,101,166
../Imagens/UnetDataset/perfume\results_pos\263_predict_resized.png,63,50,108,176
../Imagens/UnetDataset/perfume\results_pos\264_predict_resized.png,80,55,108,173
../Imagens/UnetDataset/perfume\results_pos\265_predict_resized.png,42,56,120,187
../Imagens/UnetDataset/perfume\results_pos\266_predict_resized.png,59,88,85,159
../Imagens/UnetDataset/perfume\results_pos\267_predict_resized.png,49,30,127,249
../Imagens/UnetDataset/perfume\results_pos\268_predict_resized.png,51,68,104,174
../Imagens/UnetDataset/perfume\results_pos\269_predict_resized.png,51,32,127,246
../Imagens/UnetDataset/perfume\results_pos\26_predict_resized.png,69,79,97,171
../Imagens/UnetDataset/perfume\results_pos\270_predict_resized.png,64,65,107,184
../Imagens/UnetDataset/perfume\results_pos\271_predict_resized.png,67,86,96,158
../Imagens/UnetDataset/perfume\results_pos\272_predict_resized.png,59,92,93,157
../Imagens/UnetDataset/perfume\results_pos\273_predict_resized.png,55,81,112,162
../Imagens/UnetDataset/perfume\results_pos\274_predict_resized.png,80,87,117,168
../Imagens/UnetDataset/perfume\results_pos\275_predict_resized.png,63,72,121,175
../Imagens/UnetDataset/perfume\results_pos\276_predict_resized.png,51,57,111,174
../Imagens/UnetDataset/perfume\results_pos\277_predict_resized.png,59,67,107,173
../Imagens/UnetDataset/perfume\results_pos\278_predict_resized.png,39,63,112,176
../Imagens/UnetDataset/perfume\results_pos\279_predict_resized.png,45,71,109,192
../Imagens/UnetDataset/perfume\results_pos\27_predict_resized.png,39,65,130,216
../Imagens/UnetDataset/perfume\results_pos\280_predict_resized.png,51,83,102,170
../Imagens/UnetDataset/perfume\results_pos\281_predict_resized.png,42,34,122,218
../Imagens/UnetDataset/perfume\results_pos\282_predict_resized.png,57,95,88,153
../Imagens/UnetDataset/perfume\results_pos\283_predict_resized.png,53,121,84,143
../Imagens/UnetDataset/perfume\results_pos\284_predict_resized.png,52,86,100,184
../Imagens/UnetDataset/perfume\results_pos\285_predict_resized.png,55,93,92,151
../Imagens/UnetDataset/perfume\results_pos\286_predict_resized.png,52,111,89,156
../Imagens/UnetDataset/perfume\results_pos\287_predict_resized.png,55,101,90,152
../Imagens/UnetDataset/perfume\results_pos\288_predict_resized.png,54,63,124,202
../Imagens/UnetDataset/perfume\results_pos\289_predict_resized.png,46,38,133,215
../Imagens/UnetDataset/perfume\results_pos\28_predict_resized.png,60,73,115,191
../Imagens/UnetDataset/perfume\results_pos\290_predict_resized.png,58,70,116,194
../Imagens/UnetDataset/perfume\results_pos\291_predict_resized.png,56,37,99,161
../Imagens/UnetDataset/perfume\results_pos\292_predict_resized.png,63,110,99,158
../Imagens/UnetDataset/perfume\results_pos\293_predict_resized.png,48,45,108,176
../Imagens/UnetDataset/perfume\results_pos\294_predict_resized.png,67,70,107,175
../Imagens/UnetDataset/perfume\results_pos\295_predict_resized.png,55,49,117,190
../Imagens/UnetDataset/perfume\results_pos\296_predict_resized.png,61,71,105,170
../Imagens/UnetDataset/perfume\results_pos\297_predict_resized.png,63,42,127,213
../Imagens/UnetDataset/perfume\results_pos\298_predict_resized.png,48,42,115,189
../Imagens/UnetDataset/perfume\results_pos\299_predict_resized.png,57,41,112,190
../Imagens/UnetDataset/perfume\results_pos\29_predict_resized.png,32,50,139,230
../Imagens/UnetDataset/perfume\results_pos\2_predict_resized.png,55,49,136,230
../Imagens/UnetDataset/perfume\results_pos\300_predict_resized.png,34,33,149,247
../Imagens/UnetDataset/perfume\results_pos\301_predict_resized.png,46,35,137,205
../Imagens/UnetDataset/perfume\results_pos\302_predict_resized.png,43,60,142,239
../Imagens/UnetDataset/perfume\results_pos\303_predict_resized.png,56,45,112,205
../Imagens/UnetDataset/perfume\results_pos\304_predict_resized.png,60,34,107,200
../Imagens/UnetDataset/perfume\results_pos\305_predict_resized.png,69,65,104,195
../Imagens/UnetDataset/perfume\results_pos\306_predict_resized.png,61,64,109,177
../Imagens/UnetDataset/perfume\results_pos\307_predict_resized.png,73,71,119,184
../Imagens/UnetDataset/perfume\results_pos\308_predict_resized.png,55,74,112,182
../Imagens/UnetDataset/perfume\results_pos\309_predict_resized.png,45,61,127,212
../Imagens/UnetDataset/perfume\results_pos\30_predict_resized.png,46,75,126,201
../Imagens/UnetDataset/perfume\results_pos\310_predict_resized.png,54,93,123,203
../Imagens/UnetDataset/perfume\results_pos\311_predict_resized.png,39,81,151,209
../Imagens/UnetDataset/perfume\results_pos\312_predict_resized.png,22,52,146,212
../Imagens/UnetDataset/perfume\results_pos\313_predict_resized.png,21,39,135,200
../Imagens/UnetDataset/perfume\results_pos\314_predict_resized.png,30,38,147,215
../Imagens/UnetDataset/perfume\results_pos\315_predict_resized.png,64,89,100,169
../Imagens/UnetDataset/perfume\results_pos\316_predict_resized.png,61,83,111,181
../Imagens/UnetDataset/perfume\results_pos\317_predict_resized.png,55,61,99,168
../Imagens/UnetDataset/perfume\results_pos\318_predict_resized.png,75,124,89,145
../Imagens/UnetDataset/perfume\results_pos\319_predict_resized.png,57,123,94,159
../Imagens/UnetDataset/perfume\results_pos\31_predict_resized.png,60,105,100,157
../Imagens/UnetDataset/perfume\results_pos\320_predict_resized.png,80,97,98,159
../Imagens/UnetDataset/perfume\results_pos\321_predict_resized.png,56,64,96,159
../Imagens/UnetDataset/perfume\results_pos\322_predict_resized.png,49,99,92,151
../Imagens/UnetDataset/perfume\results_pos\323_predict_resized.png,63,70,101,161
../Imagens/UnetDataset/perfume\results_pos\324_predict_resized.png,48,45,147,248
../Imagens/UnetDataset/perfume\results_pos\325_predict_resized.png,43,30,127,213
../Imagens/UnetDataset/perfume\results_pos\326_predict_resized.png,54,54,137,225
../Imagens/UnetDataset/perfume\results_pos\327_predict_resized.png,0,53,145,208
../Imagens/UnetDataset/perfume\results_pos\328_predict_resized.png,54,61,115,187
../Imagens/UnetDataset/perfume\results_pos\329_predict_resized.png,50,78,131,208
../Imagens/UnetDataset/perfume\results_pos\32_predict_resized.png,38,61,138,216
../Imagens/UnetDataset/perfume\results_pos\330_predict_resized.png,46,62,128,207
../Imagens/UnetDataset/perfume\results_pos\331_predict_resized.png,51,51,127,205
../Imagens/UnetDataset/perfume\results_pos\332_predict_resized.png,45,60,133,216
../Imagens/UnetDataset/perfume\results_pos\333_predict_resized.png,63,62,90,171
../Imagens/UnetDataset/perfume\results_pos\334_predict_resized.png,65,90,90,158
../Imagens/UnetDataset/perfume\results_pos\335_predict_resized.png,60,82,94,169
../Imagens/UnetDataset/perfume\results_pos\336_predict_resized.png,51,66,115,186
../Imagens/UnetDataset/perfume\results_pos\337_predict_resized.png,62,122,85,139
../Imagens/UnetDataset/perfume\results_pos\338_predict_resized.png,51,83,110,177
../Imagens/UnetDataset/perfume\results_pos\339_predict_resized.png,72,49,95,175
../Imagens/UnetDataset/perfume\results_pos\33_predict_resized.png,36,70,117,194
../Imagens/UnetDataset/perfume\results_pos\340_predict_resized.png,77,58,90,165
../Imagens/UnetDataset/perfume\results_pos\341_predict_resized.png,64,82,99,161
../Imagens/UnetDataset/perfume\results_pos\342_predict_resized.png,41,48,137,236
../Imagens/UnetDataset/perfume\results_pos\343_predict_resized.png,74,89,124,211
../Imagens/UnetDataset/perfume\results_pos\344_predict_resized.png,50,59,128,216
../Imagens/UnetDataset/perfume\results_pos\345_predict_resized.png,48,65,141,191
../Imagens/UnetDataset/perfume\results_pos\346_predict_resized.png,64,87,124,170
../Imagens/UnetDataset/perfume\results_pos\347_predict_resized.png,61,98,123,167
../Imagens/UnetDataset/perfume\results_pos\348_predict_resized.png,57,86,109,173
../Imagens/UnetDataset/perfume\results_pos\349_predict_resized.png,47,68,107,176
../Imagens/UnetDataset/perfume\results_pos\34_predict_resized.png,37,91,116,192
../Imagens/UnetDataset/perfume\results_pos\350_predict_resized.png,68,81,98,168
../Imagens/UnetDataset/perfume\results_pos\351_predict_resized.png,38,64,131,216
../Imagens/UnetDataset/perfume\results_pos\352_predict_resized.png,59,71,115,191
../Imagens/UnetDataset/perfume\results_pos\353_predict_resized.png,32,50,138,230
../Imagens/UnetDataset/perfume\results_pos\354_predict_resized.png,46,75,126,201
../Imagens/UnetDataset/perfume\results_pos\355_predict_resized.png,60,105,100,158
../Imagens/UnetDataset/perfume\results_pos\356_predict_resized.png,38,61,138,217
../Imagens/UnetDataset/perfume\results_pos\357_predict_resized.png,35,70,117,194
../Imagens/UnetDataset/perfume\results_pos\358_predict_resized.png,36,91,116,192
../Imagens/UnetDataset/perfume\results_pos\359_predict_resized.png,50,82,116,192
../Imagens/UnetDataset/perfume\results_pos\35_predict_resized.png,51,82,116,192
../Imagens/UnetDataset/perfume\results_pos\360_predict_resized.png,55,71,104,179
../Imagens/UnetDataset/perfume\results_pos\361_predict_resized.png,52,56,116,197
../Imagens/UnetDataset/perfume\results_pos\362_predict_resized.png,56,61,102,175
../Imagens/UnetDataset/perfume\results_pos\363_predict_resized.png,62,73,105,187
../Imagens/UnetDataset/perfume\results_pos\364_predict_resized.png,61,82,91,155
../Imagens/UnetDataset/perfume\results_pos\365_predict_resized.png,51,59,101,181
../Imagens/UnetDataset/perfume\results_pos\366_predict_resized.png,61,80,101,164
../Imagens/UnetDataset/perfume\results_pos\367_predict_resized.png,37,59,117,192
../Imagens/UnetDataset/perfume\results_pos\368_predict_resized.png,67,53,104,175
../Imagens/UnetDataset/perfume\results_pos\369_predict_resized.png,74,70,109,176
../Imagens/UnetDataset/perfume\results_pos\36_predict_resized.png,55,71,104,179
../Imagens/UnetDataset/perfume\results_pos\370_predict_resized.png,53,74,101,167
../Imagens/UnetDataset/perfume\results_pos\371_predict_resized.png,63,49,108,179
../Imagens/UnetDataset/perfume\results_pos\372_predict_resized.png,53,54,135,178
../Imagens/UnetDataset/perfume\results_pos\373_predict_resized.png,26,52,136,195
../Imagens/UnetDataset/perfume\results_pos\374_predict_resized.png,31,86,113,162
../Imagens/UnetDataset/perfume\results_pos\375_predict_resized.png,49,30,127,253
../Imagens/UnetDataset/perfume\results_pos\376_predict_resized.png,50,67,106,209
../Imagens/UnetDataset/perfume\results_pos\377_predict_resized.png,51,31,128,250
../Imagens/UnetDataset/perfume\results_pos\378_predict_resized.png,64,65,107,184
../Imagens/UnetDataset/perfume\results_pos\379_predict_resized.png,66,86,97,158
../Imagens/UnetDataset/perfume\results_pos\37_predict_resized.png,52,56,116,197
../Imagens/UnetDataset/perfume\results_pos\380_predict_resized.png,58,93,94,156
../Imagens/UnetDataset/perfume\results_pos\381_predict_resized.png,54,82,110,161
../Imagens/UnetDataset/perfume\results_pos\382_predict_resized.png,80,87,117,168
../Imagens/UnetDataset/perfume\results_pos\383_predict_resized.png,62,73,119,174
../Imagens/UnetDataset/perfume\results_pos\384_predict_resized.png,52,56,109,175
../Imagens/UnetDataset/perfume\results_pos\385_predict_resized.png,59,66,107,174
../Imagens/UnetDataset/perfume\results_pos\386_predict_resized.png,38,61,111,179
../Imagens/UnetDataset/perfume\results_pos\387_predict_resized.png,45,71,109,192
../Imagens/UnetDataset/perfume\results_pos\388_predict_resized.png,52,83,101,170
../Imagens/UnetDataset/perfume\results_pos\389_predict_resized.png,42,34,122,217
../Imagens/UnetDataset/perfume\results_pos\38_predict_resized.png,56,61,103,175
../Imagens/UnetDataset/perfume\results_pos\390_predict_resized.png,56,95,89,154
../Imagens/UnetDataset/perfume\results_pos\391_predict_resized.png,53,121,83,143
../Imagens/UnetDataset/perfume\results_pos\392_predict_resized.png,52,86,100,187
../Imagens/UnetDataset/perfume\results_pos\393_predict_resized.png,55,93,92,153
../Imagens/UnetDataset/perfume\results_pos\394_predict_resized.png,52,110,89,157
../Imagens/UnetDataset/perfume\results_pos\395_predict_resized.png,55,101,90,152
../Imagens/UnetDataset/perfume\results_pos\396_predict_resized.png,54,64,124,201
../Imagens/UnetDataset/perfume\results_pos\397_predict_resized.png,46,38,134,215
../Imagens/UnetDataset/perfume\results_pos\398_predict_resized.png,58,72,116,192
../Imagens/UnetDataset/perfume\results_pos\399_predict_resized.png,56,37,99,160
../Imagens/UnetDataset/perfume\results_pos\39_predict_resized.png,62,73,105,187
../Imagens/UnetDataset/perfume\results_pos\3_predict_resized.png,0,53,145,211
../Imagens/UnetDataset/perfume\results_pos\400_predict_resized.png,63,111,100,157
../Imagens/UnetDataset/perfume\results_pos\401_predict_resized.png,48,45,108,175
../Imagens/UnetDataset/perfume\results_pos\402_predict_resized.png,66,70,109,175
../Imagens/UnetDataset/perfume\results_pos\403_predict_resized.png,55,49,116,190
../Imagens/UnetDataset/perfume\results_pos\404_predict_resized.png,60,71,105,171
../Imagens/UnetDataset/perfume\results_pos\405_predict_resized.png,59,42,131,211
../Imagens/UnetDataset/perfume\results_pos\406_predict_resized.png,46,42,115,187
../Imagens/UnetDataset/perfume\results_pos\407_predict_resized.png,53,41,116,188
../Imagens/UnetDataset/perfume\results_pos\408_predict_resized.png,33,33,149,244
../Imagens/UnetDataset/perfume\results_pos\409_predict_resized.png,45,0,138,239
../Imagens/UnetDataset/perfume\results_pos\40_predict_resized.png,61,82,91,155
../Imagens/UnetDataset/perfume\results_pos\410_predict_resized.png,43,61,142,237
../Imagens/UnetDataset/perfume\results_pos\411_predict_resized.png,56,45,114,206
../Imagens/UnetDataset/perfume\results_pos\412_predict_resized.png,60,34,113,203
../Imagens/UnetDataset/perfume\results_pos\413_predict_resized.png,69,64,111,197
