file,x,y,w,h
../Imagens/UnetDataset/fio_dental\train/label\74.png,50,125,92,105
../Imagens/UnetDataset/fio_dental\train/label\75.png,120,148,3,1
../Imagens/UnetDataset/fio_dental\train/label\76.png,67,170,1,42
../Imagens/UnetDataset/fio_dental\train/label\77.png,51,144,99,98
../Imagens/UnetDataset/fio_dental\train/label\78.png,76,90,85,95
../Imagens/UnetDataset/fio_dental\train/label\79.png,48,97,124,123
../Imagens/UnetDataset/fio_dental\train/label\8.png,67,170,1,42
../Imagens/UnetDataset/fio_dental\train/label\80.png,55,113,102,100
../Imagens/UnetDataset/fio_dental\train/label\81.png,68,107,86,87
../Imagens/UnetDataset/fio_dental\train/label\82.png,75,99,87,86
../Imagens/UnetDataset/fio_dental\train/label\83.png,50,112,99,103
../Imagens/UnetDataset/fio_dental\train/label\84.png,32,81,104,109
../Imagens/UnetDataset/fio_dental\train/label\9.png,51,144,99,98
