file,x,y,w,h
../Imagens/UnetDataset/faca\train/label\77.png,94,45,33,234
../Imagens/UnetDataset/faca\train/label\78.png,158,35,1,9
../Imagens/UnetDataset/faca\train/label\79.png,89,26,41,251
../Imagens/UnetDataset/faca\train/label\8.png,134,234,1,40
../Imagens/UnetDataset/faca\train/label\80.png,134,234,1,40
../Imagens/UnetDataset/faca\train/label\81.png,111,252,1,31
../Imagens/UnetDataset/faca\train/label\82.png,100,187,1,20
../Imagens/UnetDataset/faca\train/label\83.png,130,136,1,28
../Imagens/UnetDataset/faca\train/label\84.png,84,154,1,22
../Imagens/UnetDataset/faca\train/label\85.png,115,102,1,9
../Imagens/UnetDataset/faca\train/label\86.png,79,0,44,274
../Imagens/UnetDataset/faca\train/label\87.png,95,55,32,226
../Imagens/UnetDataset/faca\train/label\88.png,126,213,1,12
../Imagens/UnetDataset/faca\train/label\89.png,81,10,60,278
../Imagens/UnetDataset/faca\train/label\9.png,111,252,1,31
