file,x,y,w,h,classe,HuMoment1,HuMoment2,HuMoment3,HuMoment4,HuMoment5,HuMoment6,HuMoment7,PCA
../Imagens/UnetDataset/caneca\results_pos\125_predict_resized.png,47,51,141,175,caneca,-1.4144144465388673,-2.8288288930777346,-1.6451187959600222,-1.6451187959600222,-3.2902375919200444,-3.0595332424988895,0.0,12960.030618290262
../Imagens/UnetDataset/caneca\results_pos\126_predict_resized.png,20,46,165,205,caneca,-1.396802712139903,-2.793605424279806,-1.4193345384250942,-1.4193345384250942,-2.8386690768501883,-2.816137250564997,0.0,29238.18912043169
../Imagens/UnetDataset/caneca\results_pos\127_predict_resized.png,58,218,16,25,caneca,-1.5165954826128976,-3.033190965225795,-2.4055290391758914,-2.4055290391758914,-4.811058078351783,-3.922124521788789,0.0,20701.639920799247
../Imagens/UnetDataset/caneca\results_pos\128_predict_resized.png,23,28,164,211,caneca,-1.4333492113475979,-2.8666984226951957,0.974573140097998,0.974573140097998,1.9491462801959962,-0.4587760712495997,-0.0,27894.697691033387
../Imagens/UnetDataset/caneca\results_pos\129_predict_resized.png,195,132,23,85,caneca,-1.4273728308769384,-2.8547456617538765,-2.4147873766714913,-2.4147873766714913,-4.829574753342983,-3.84216020754843,0.0,24736.453784593174
../Imagens/UnetDataset/caneca\results_pos\12_predict_resized.png,28,72,141,157,caneca,-1.4204421758554941,-2.8408843517109883,-2.7105430931825927,-2.7105430931825927,-5.421086186365185,-4.130985269038087,0.0,10439.062778107183
../Imagens/UnetDataset/caneca\results_pos\130_predict_resized.png,195,125,27,83,caneca,-1.431199910591989,-2.862399821183978,-2.157828017166166,-2.157828017166166,-4.315656034332332,-3.589027927758155,0.0,25470.120258668205
../Imagens/UnetDataset/caneca\results_pos\131_predict_resized.png,188,121,25,78,caneca,-1.4222824687875475,-2.844564937575095,-2.5822515206278642,-2.5822515206278642,-5.1645030412557285,-4.004533989415412,0.0,24502.548296807905
../Imagens/UnetDataset/caneca\results_pos\132_predict_resized.png,32,54,141,239,caneca,-1.5250525476921393,-3.0501050953842785,-4.001350375777118,-4.001350375777118,-8.002700751554237,-5.5264029234692575,0.0,18783.363459951917
../Imagens/UnetDataset/caneca\results_pos\133_predict_resized.png,17,168,16,10,caneca,-1.366670269026424,-2.733340538052848,-0.8878463865667638,-0.8878463865667638,-1.7756927731335275,-2.254516655593188,0.0,27164.393733178964
../Imagens/UnetDataset/caneca\results_pos\134_predict_resized.png,109,252,2,6,caneca,-1.55770427146586,-3.11540854293172,-3.8849769004699177,-3.8849769004699177,-7.7699538009398355,-5.442681171935778,0.0,23832.172273042434
../Imagens/UnetDataset/caneca\results_pos\135_predict_resized.png,51,89,127,149,caneca,-1.416570356954623,-2.833140713909246,-2.766480383451242,-2.766480383451242,-5.532960766902484,-4.183050740405865,0.0,11955.815395854821
../Imagens/UnetDataset/caneca\results_pos\136_predict_resized.png,45,88,143,167,caneca,-1.4220155097370335,-2.844031019474067,-2.760928492427262,-2.760928492427262,-5.521856984854524,-4.182944002164295,0.0,17706.580118915612
../Imagens/UnetDataset/caneca\results_pos\137_predict_resized.png,39,65,140,174,caneca,-1.4355780694469806,-2.8711561388939613,-2.730025957711745,-2.730025957711745,-5.46005191542349,-4.165604027158725,0.0,19703.63744691803
../Imagens/UnetDataset/caneca\results_pos\138_predict_resized.png,23,114,129,151,caneca,-1.4135591509960501,-2.8271183019921002,-2.823924174423461,-2.823924174423461,-5.647848348846922,-4.237483325419511,0.0,8880.59918611602
../Imagens/UnetDataset/caneca\results_pos\139_predict_resized.png,27,107,137,157,caneca,-1.4137265962425163,-2.8274531924850326,-2.8925863867757537,-2.8925863867757537,-5.7851727735515075,-4.3063129830182705,0.0,12781.004113269397
../Imagens/UnetDataset/caneca\results_pos\13_predict_resized.png,43,92,128,149,caneca,-1.396648828725264,-2.793297657450528,-2.706551317960002,-2.706551317960002,-5.413102635920004,-4.103200146685266,0.0,12186.244165975795
../Imagens/UnetDataset/caneca\results_pos\140_predict_resized.png,34,109,134,154,caneca,-1.4138128965503474,-2.8276257931006947,-2.864379855627905,-2.864379855627905,-5.72875971125581,-4.278192752178253,0.0,12555.365099863706
../Imagens/UnetDataset/caneca\results_pos\141_predict_resized.png,35,60,136,156,caneca,-1.4159709171246742,-2.8319418342493483,-2.4983058785440813,-2.4983058785440813,-4.9966117570881625,-3.9142767956687554,0.0,11776.72074936877
../Imagens/UnetDataset/caneca\results_pos\142_predict_resized.png,32,79,135,150,caneca,-1.4110578670834613,-2.8221157341669225,-2.551842442581195,-2.551842442581195,-5.10368488516239,-3.9629003096646565,0.0,11449.370164869302
../Imagens/UnetDataset/caneca\results_pos\143_predict_resized.png,33,86,142,158,caneca,-1.410212839438645,-2.82042567887729,-2.6145791175627844,-2.6145791175627844,-5.229158235125569,-4.02479195700143,0.0,14923.821662602459
../Imagens/UnetDataset/caneca\results_pos\144_predict_resized.png,34,105,162,151,caneca,-1.37631628081939,-2.75263256163878,-2.4300245123649327,-2.4300245123649327,-4.860049024729865,-3.8063407931843227,0.0,14898.970938391107
../Imagens/UnetDataset/caneca\results_pos\145_predict_resized.png,44,86,147,155,caneca,-1.380164890675893,-2.760329781351786,-2.0014907325380005,-2.0014907325380005,-4.002981465076001,-3.3816556232138937,0.0,15114.977801710278
../Imagens/UnetDataset/caneca\results_pos\146_predict_resized.png,36,100,157,165,caneca,-1.3814880383380834,-2.762976076676167,-2.2172363449551136,-2.2172363449551136,-4.434472689910227,-3.598724383293197,0.0,16456.76085974556
../Imagens/UnetDataset/caneca\results_pos\147_predict_resized.png,44,143,144,145,caneca,-1.377076314487484,-2.7541526289749685,-2.43430031290282,-2.43430031290282,-4.86860062580564,-3.811376627390304,0.0,8783.130595259108
../Imagens/UnetDataset/caneca\results_pos\148_predict_resized.png,56,129,150,148,caneca,-1.3692088254186838,-2.7384176508373677,-2.453625437903918,-2.453625437903918,-4.907250875807836,-3.822834263322602,0.0,12909.614413769134
../Imagens/UnetDataset/caneca\results_pos\149_predict_resized.png,37,129,150,147,caneca,-1.3683014817728145,-2.736602963545629,-2.471595255585247,-2.471595255585247,-4.943190511170494,-3.8398967373580617,0.0,10675.384445562908
../Imagens/UnetDataset/caneca\results_pos\14_predict_resized.png,40,61,141,156,caneca,-1.4205576232642256,-2.8411152465284513,-2.664881201677677,-2.664881201677677,-5.329762403355354,-4.085438824941902,0.0,12852.23910828121
../Imagens/UnetDataset/caneca\results_pos\150_predict_resized.png,16,62,177,179,caneca,-1.5724925020019098,-3.1449850040038196,-4.488168875883664,-4.488168875883664,-8.976337751767328,-6.060661377885574,0.0,-9442.089175261675
../Imagens/UnetDataset/caneca\results_pos\151_predict_resized.png,156,225,11,17,caneca,-1.5149564322463733,-3.0299128644927467,-3.7490412402750044,-3.7490412402750044,-7.498082480550009,-5.263997672521378,0.0,4749.030322014727
../Imagens/UnetDataset/caneca\results_pos\152_predict_resized.png,181,94,3,8,caneca,-1.4492560630584088,-2.8985121261168176,-3.4810464445258726,-3.4810464445258726,-6.962092889051745,-4.9303025075842815,0.0,6603.570498963677
../Imagens/UnetDataset/caneca\results_pos\153_predict_resized.png,49,83,152,153,caneca,-1.3471628451724498,-2.6943256903448995,-2.1747216093374164,-2.1747216093374164,-4.349443218674833,-3.521884454509866,0.0,17706.123900316765
../Imagens/UnetDataset/caneca\results_pos\154_predict_resized.png,12,61,163,163,caneca,-1.3518446921329892,-2.7036893842659784,-2.114927173066952,-2.114927173066952,-4.229854346133904,-3.466771865199941,0.0,10457.649399232298
../Imagens/UnetDataset/caneca\results_pos\155_predict_resized.png,23,47,166,188,caneca,-1.3527270560429436,-2.7054541120858873,-1.7471752385914225,-1.7471752385914225,-3.494350477182845,-3.0999022946343664,-0.0,12531.078878246495
../Imagens/UnetDataset/caneca\results_pos\156_predict_resized.png,23,88,158,163,caneca,-1.373328866781208,-2.746657733562416,-2.192185165949755,-2.192185165949755,-4.38437033189951,-3.565514032730963,0.0,11345.19855690175
../Imagens/UnetDataset/caneca\results_pos\157_predict_resized.png,23,96,154,148,caneca,-1.3699422959312864,-2.7398845918625727,-2.3544570815859407,-2.3544570815859407,-4.708914163171881,-3.724399377517227,0.0,8622.223865959815
../Imagens/UnetDataset/caneca\results_pos\158_predict_resized.png,59,117,138,132,caneca,-1.3618304188352317,-2.7236608376704634,-2.4149830067331903,-2.4149830067331903,-4.8299660134663815,-3.776813425568422,0.0,9511.15531620742
../Imagens/UnetDataset/caneca\results_pos\159_predict_resized.png,49,58,133,133,caneca,-1.3670928572742609,-2.7341857145485218,-2.015214998085119,-2.015214998085119,-4.030429996170238,-3.3823078553593797,0.0,5503.140234626197
../Imagens/UnetDataset/caneca\results_pos\15_predict_resized.png,25,59,147,176,caneca,-1.4043145214578305,-2.808629042915661,-1.9045964944293523,-1.9045964944293523,-3.8091929888587046,-3.308911015887183,0.0,18210.528860012146
../Imagens/UnetDataset/caneca\results_pos\160_predict_resized.png,38,48,132,132,caneca,-1.3640226719713586,-2.7280453439427172,-1.844742897121256,-1.844742897121256,-3.689485794242512,-3.208765569092615,0.0,1230.003735009676
../Imagens/UnetDataset/caneca\results_pos\161_predict_resized.png,42,58,138,135,caneca,-1.3593783754548967,-2.7187567509097934,-2.134969180354337,-2.134969180354337,-4.269938360708674,-3.494347555809234,0.0,5577.583699127094
../Imagens/UnetDataset/caneca\results_pos\162_predict_resized.png,31,46,190,209,caneca,-1.7188033917223793,-3.4376067834447586,-4.546593053095107,-4.546593053095107,-9.093186106190213,-6.265396444817486,0.0,378.09671476198486
../Imagens/UnetDataset/caneca\results_pos\163_predict_resized.png,23,54,204,196,caneca,-1.4360167663515062,-2.8720335327030124,-1.7920709242804045,-1.7920709242804045,-3.584141848560809,-3.2280876906319107,-0.0,17688.44927725135
../Imagens/UnetDataset/caneca\results_pos\164_predict_resized.png,35,58,165,224,caneca,-1.7783413636509386,-3.556682727301877,-4.698348243138495,-4.698348243138495,-9.39669648627699,-6.476689606789434,0.0,5329.687473913838
../Imagens/UnetDataset/caneca\results_pos\165_predict_resized.png,23,60,4,8,caneca,-1.4059500116858892,-2.8119000233717784,-2.0454627097213205,-2.0454627097213205,-4.090925419442641,-3.4514127214072094,0.0,31859.119239026153
../Imagens/UnetDataset/caneca\results_pos\166_predict_resized.png,41,123,148,157,caneca,-1.3886455192956704,-2.7772910385913407,-2.20211569957412,-2.20211569957412,-4.40423139914824,-3.5907612188697904,0.0,13261.336992932233
../Imagens/UnetDataset/caneca\results_pos\167_predict_resized.png,20,70,201,202,caneca,-1.4026831977440193,-2.8053663954880386,-2.131339436182625,-2.131339436182625,-4.26267887236525,-3.534022633926644,0.0,30237.546384124627
../Imagens/UnetDataset/caneca\results_pos\168_predict_resized.png,19,112,3,16,caneca,-1.3352044595334032,-2.6704089190668063,-3.270629788161136,-3.270629788161136,-6.541259576322272,-4.605834247694538,-0.0,9197.362938470189
../Imagens/UnetDataset/caneca\results_pos\169_predict_resized.png,49,34,136,224,caneca,-1.7532708554876382,-3.5065417109752763,-4.2495112824279095,-4.2495112824279095,-8.499022564855819,-6.002782137915548,-0.0,2791.2452353576004
../Imagens/UnetDataset/caneca\results_pos\16_predict_resized.png,18,38,126,169,caneca,-1.4317437500359866,-2.8634875000719733,-1.8491851289320749,-1.8491851289320749,-3.6983702578641497,-3.2809288789680617,0.0,6495.621975861599
../Imagens/UnetDataset/caneca\results_pos\170_predict_resized.png,58,56,162,194,caneca,-1.6749228315905405,-3.349845663181081,-3.7326467623585717,-3.7326467623585717,-7.465293524717143,-5.407569593949112,0.0,-5094.923582226667
../Imagens/UnetDataset/caneca\results_pos\171_predict_resized.png,45,105,134,139,caneca,-1.382982859419961,-2.765965718839922,-2.3313405687629993,-2.3313405687629993,-4.662681137525999,-3.71432342818296,0.0,8767.361822107521
../Imagens/UnetDataset/caneca\results_pos\172_predict_resized.png,39,89,142,144,caneca,-1.3832157649425592,-2.7664315298851183,-2.2843132129589456,-2.2843132129589456,-4.568626425917891,-3.667528977901505,0.0,10252.95094729129
../Imagens/UnetDataset/caneca\results_pos\173_predict_resized.png,44,97,142,148,caneca,-1.3869337723808832,-2.7738675447617664,-2.261399022256224,-2.261399022256224,-4.522798044512448,-3.648332794637107,0.0,12140.396189127358
../Imagens/UnetDataset/caneca\results_pos\174_predict_resized.png,28,105,161,151,caneca,-1.3593030994667346,-2.718606198933469,-2.582350909634621,-2.582350909634621,-5.164701819269242,-3.9416540091013554,0.0,13070.854122791114
../Imagens/UnetDataset/caneca\results_pos\175_predict_resized.png,38,129,138,134,caneca,-1.3667085076504468,-2.7334170153008936,-2.5276416830981807,-2.5276416830981807,-5.055283366196361,-3.8943501907486278,0.0,5877.255482454271
../Imagens/UnetDataset/caneca\results_pos\176_predict_resized.png,57,129,155,154,caneca,-1.3690615965905026,-2.7381231931810053,-2.5061140175731462,-2.5061140175731462,-5.0122280351462924,-3.875175614163649,0.0,13477.96259690481
../Imagens/UnetDataset/caneca\results_pos\177_predict_resized.png,38,85,141,139,caneca,-1.3599541236240225,-2.719908247248045,-2.4347731829150714,-2.4347731829150714,-4.869546365830143,-3.7947273065390936,0.0,8077.993635580711
../Imagens/UnetDataset/caneca\results_pos\178_predict_resized.png,29,112,133,129,caneca,-1.363479850410861,-2.726959700821722,-2.4607375585799414,-2.4607375585799414,-4.921475117159883,-3.824217408990802,0.0,2078.5653652303517
../Imagens/UnetDataset/caneca\results_pos\179_predict_resized.png,39,81,134,139,caneca,-1.3603757639373644,-2.7207515278747287,-2.6438366134006785,-2.6438366134006785,-5.287673226801357,-4.004212377338043,0.0,4766.061444272626
../Imagens/UnetDataset/caneca\results_pos\17_predict_resized.png,47,55,141,170,caneca,-1.4062100768075874,-2.8124201536151747,-1.7585660197686497,-1.7585660197686497,-3.5171320395372994,-3.164776096576237,0.0,12631.611251673023
../Imagens/UnetDataset/caneca\results_pos\180_predict_resized.png,40,25,162,179,caneca,-1.3737585231398597,-2.7475170462797194,-1.1377838153426991,-1.1377838153426991,-2.275567630685398,-2.511542338482559,-0.0,15113.351247535566
../Imagens/UnetDataset/caneca\results_pos\181_predict_resized.png,53,66,168,163,caneca,-1.3559215269132514,-2.711843053826503,-1.3446487276836698,-1.3446487276836698,-2.6892974553673397,-2.7005702545969212,-0.0,12698.834721205105
../Imagens/UnetDataset/caneca\results_pos\182_predict_resized.png,48,55,162,164,caneca,-1.3589509338539731,-2.7179018677079463,-1.2587002596635681,-1.2587002596635681,-2.5174005193271363,-2.617651193517541,-0.0,13052.386152830613
../Imagens/UnetDataset/caneca\results_pos\183_predict_resized.png,45,129,147,155,caneca,-1.3630500236803422,-2.7261000473606845,-2.053140666266742,-2.053140666266742,-4.106281332533484,-3.4161906899470846,0.0,11755.771727558087
../Imagens/UnetDataset/caneca\results_pos\184_predict_resized.png,45,139,129,133,caneca,-1.3460542717242818,-2.6921085434485637,-1.7292985376965342,-1.7292985376965342,-3.458597075393068,-3.075352809420816,0.0,8037.569628971439
../Imagens/UnetDataset/caneca\results_pos\185_predict_resized.png,36,89,142,150,caneca,-1.351869697391258,-2.703739394782516,-0.35804503851159963,-0.35804503851159963,-0.7160900770231992,-1.7099147359028577,0.0,16087.304079242633
../Imagens/UnetDataset/caneca\results_pos\186_predict_resized.png,32,77,156,148,caneca,-1.3358101454100502,-2.6716202908201003,-1.1661882501900922,-1.1661882501900922,-2.3323765003801844,-2.5019983956001424,-0.0,14818.488854489078
../Imagens/UnetDataset/caneca\results_pos\187_predict_resized.png,39,119,118,109,caneca,-1.3255211146476886,-2.6510422292953773,-0.8377209162419106,-0.8377209162419106,-1.6754418324838212,-2.163242030889599,-0.0,703.8578816817367
../Imagens/UnetDataset/caneca\results_pos\188_predict_resized.png,44,98,140,133,caneca,-1.3341672163143818,-2.6683344326287637,-1.0164379678729285,-1.0164379678729285,-2.032875935745857,-2.3506051841873106,-0.0,7772.440832589203
../Imagens/UnetDataset/caneca\results_pos\189_predict_resized.png,38,83,137,130,caneca,-1.3219074603252805,-2.643814920650561,-0.22558216681653845,-0.22558216681653845,-0.4511643336330769,-1.547489627141819,-0.0,8173.600634585657
../Imagens/UnetDataset/caneca\results_pos\18_predict_resized.png,28,46,157,205,caneca,-1.4191484120086517,-2.8382968240173034,-0.9242164708275827,-0.9242164708275827,-1.8484329416551655,-2.3433648828362346,0.0,28721.597639709107
../Imagens/UnetDataset/caneca\results_pos\190_predict_resized.png,14,65,137,153,caneca,-1.3395181694470863,-2.6790363388941727,-1.2736245744977175,-1.2736245744977175,-2.547249148995435,-2.613142743944804,-0.0,10959.665089647235
../Imagens/UnetDataset/caneca\results_pos\191_predict_resized.png,40,68,148,159,caneca,-1.3504379727454683,-2.7008759454909366,-1.0222228647543716,-1.0222228647543716,-2.0444457295087433,-2.37266083749984,-0.0,17546.871746953406
../Imagens/UnetDataset/caneca\results_pos\192_predict_resized.png,26,118,4,24,caneca,-1.344315842885186,-2.688631685770372,-1.6774733709294272,-1.6774733709294272,-3.3549467418588543,-3.021789213814613,0.0,15856.10159394321
../Imagens/UnetDataset/caneca\results_pos\193_predict_resized.png,35,118,145,152,caneca,-1.3593454494110901,-2.7186908988221803,-1.0225041415380696,-1.0225041415380696,-2.045008283076139,-2.3818495909491597,0.0,14334.097988766895
../Imagens/UnetDataset/caneca\results_pos\194_predict_resized.png,62,69,8,4,caneca,-1.3627896245678166,-2.7255792491356337,-0.22113323632207937,-0.22113323632207937,-0.44226647264415875,-1.583922860889896,0.0,22589.680983829545
../Imagens/UnetDataset/caneca\results_pos\195_predict_resized.png,26,57,143,130,caneca,-1.3061243014070845,-2.6122486028141694,-2.031890046050821,-2.031890046050821,-4.063780092101642,-3.338014347457906,-0.0,7692.270677661055
../Imagens/UnetDataset/caneca\results_pos\196_predict_resized.png,34,55,151,140,caneca,-1.3064107018522726,-2.6128214037045456,-2.16590907531632,-2.16590907531632,-4.33181815063264,-3.4723197771685927,-0.0,10072.602845032752
../Imagens/UnetDataset/caneca\results_pos\197_predict_resized.png,45,38,148,140,caneca,-1.3101850947129592,-2.6203701894259184,-2.2342363720172806,-2.2342363720172806,-4.468472744034561,-3.5444214667302396,-0.0,5558.149250394277
../Imagens/UnetDataset/caneca\results_pos\198_predict_resized.png,19,24,187,215,caneca,-1.3293467869894569,-2.6586935739789137,-2.393786583723152,-2.393786583723152,-4.787573167446304,-3.7231333707126084,-0.0,22971.518009571846
../Imagens/UnetDataset/caneca\results_pos\199_predict_resized.png,43,78,157,170,caneca,-1.4625807956143464,-2.925161591228693,-2.87338566531502,-2.87338566531502,-5.74677133063004,-4.335966460929367,0.0,10803.197042799393
../Imagens/UnetDataset/caneca\results_pos\19_predict_resized.png,60,219,17,35,caneca,-1.524458660213569,-3.048917320427138,-2.6707561326395197,-2.6707561326395197,-5.341512265279039,-4.195214792853089,0.0,21384.72819416398
../Imagens/UnetDataset/caneca\results_pos\1_predict_resized.png,38,67,142,182,caneca,-1.44024223053923,-2.88048446107846,-2.505102718560118,-2.505102718560118,-5.010205437120236,-3.945344949099348,0.0,23204.261249470816
../Imagens/UnetDataset/caneca\results_pos\200_predict_resized.png,42,246,13,10,caneca,-1.471763146400417,-2.943526292800834,-3.235165207463209,-3.235165207463209,-6.470330414926418,-4.706928353863626,0.0,11625.054724643089
../Imagens/UnetDataset/caneca\results_pos\201_predict_resized.png,20,90,181,162,caneca,-1.3198822467766425,-2.639764493553285,1.2569575623952778,1.2569575623952778,2.513915124790555,-0.06292468438136475,0.0,20365.329060302774
../Imagens/UnetDataset/caneca\results_pos\202_predict_resized.png,40,97,152,129,caneca,-1.3102121262010935,-2.620424252402187,-0.6503503795535015,-0.6503503795535015,-1.300700759107003,-1.960562505754595,-0.0,8955.371573688557
../Imagens/UnetDataset/caneca\results_pos\203_predict_resized.png,17,92,177,149,caneca,-1.3140925361545805,-2.628185072309161,-0.3522632831760606,-0.3522632831760606,-0.7045265663521212,-1.6663558193306411,0.0,16116.91514512886
../Imagens/UnetDataset/caneca\results_pos\204_predict_resized.png,14,46,175,198,caneca,-1.4808338151090628,-2.9616676302181255,-2.3958856357194906,-2.3958856357194906,-4.791771271438981,-3.8767194508285536,0.0,13516.300879374534
../Imagens/UnetDataset/caneca\results_pos\205_predict_resized.png,175,240,18,6,caneca,-1.321412896092099,-2.642825792184198,-1.6520718340719887,-1.6520718340719887,-3.3041436681439773,-2.973484730164088,0.0,11715.309438424201
../Imagens/UnetDataset/caneca\results_pos\206_predict_resized.png,47,95,14,21,caneca,-1.3823206768755163,-2.7646413537510326,-1.5298497580624784,-1.5298497580624784,-3.0596995161249567,-2.9121704349379947,0.0,10756.048925897998
../Imagens/UnetDataset/caneca\results_pos\207_predict_resized.png,54,79,145,158,caneca,-1.3577327252901652,-2.7154654505803304,-0.7438192946420483,-0.7438192946420483,-1.4876385892840966,-2.1015520199322135,-0.0,14330.45409535266
../Imagens/UnetDataset/caneca\results_pos\208_predict_resized.png,24,93,135,143,caneca,-1.3481185613815065,-2.696237122763013,-0.9240849743063667,-0.9240849743063667,-1.8481699486127334,-2.2722035356878734,-0.0,12893.04848313907
../Imagens/UnetDataset/caneca\results_pos\209_predict_resized.png,46,75,149,160,caneca,-1.3525829735484096,-2.7051659470968192,0.8073241134142486,0.8073241134142486,1.6146482268284972,-0.545258860134161,-0.0,16510.565553407923
